expert,scene,angle_deg,category,direction,vx,vy,yaw,control_result,process_result,exit_code,log,csv
slope_up,flat,0,STAND,neutral,0,0,0,FAIL,OK,2,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_STAND_neutral.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_STAND_neutral.csv
slope_up,flat,0,STRAIGHT,up,0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_STRAIGHT_up.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_STRAIGHT_up.csv
slope_up,flat,0,STRAIGHT,down,-0.3,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_STRAIGHT_down.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_STRAIGHT_down.csv
slope_up,flat,0,DIAGONAL,up,0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_DIAGONAL_up.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_DIAGONAL_up.csv
slope_up,flat,0,DIAGONAL,down,-0.25,0.20,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_DIAGONAL_down.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_DIAGONAL_down.csv
slope_up,flat,0,CROSS,left,0,0.3,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_CROSS_left.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_CROSS_left.csv
slope_up,flat,0,CROSS,right,0,-0.3,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_CROSS_right.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_CROSS_right.csv
slope_up,flat,0,TURN,left,0,0,0.5,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_TURN_left.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_TURN_left.csv
slope_up,flat,0,TURN,right,0,0,-0.5,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_TURN_right.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/flat_TURN_right.csv
slope_up,5,5,STAND,neutral,0,0,0,PASS,OK,0,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/5_STAND_neutral.log,results/meta_policy_paper_20260831/experts/slope_up_repeat_2/5_STAND_neutral.csv
